content,like,rcount,sex,mid,diag,好,乐,哀,怒,惧,恶,惊,pos,neg
牢大有史以来最具竞争力的对手诞生了[妙啊],4407,40,男,1471243937,原评论,1,0,0,0,0,0,0,0,1
劲凉和冰红茶[脱单doge],236,0,男,28896417,原评论,0,0,0,0,0,0,0,0,0
目前牢大仍然是身体素质最强，直接给哟西肘飞,133,0,保密,391375870,原评论,0,0,0,0,0,0,0,0,0
谁说我了？,110,0,保密,474276776,原评论,0,0,0,0,0,0,0,0,0
他更喜欢哪个国家无所谓，他的自由。但是双标不应该，作为运动员，应该尊重球迷，对得起球迷买票支持你。,4276,37,保密,85915283,原评论,4,1,0,0,0,0,0,3,0
其实不尊重粉丝也是他的自由，而互联H网不尊重他也便无权干涉了,243,0,男,1801118646,原评论,3,0,0,0,0,1,0,3,1
是这样的，它就算喜欢阿三和棒子也无所谓。好歹给买票看你玩踢罐子游戏的粉丝做个样子吧,146,0,保密,431434617,原评论,1,1,0,0,0,0,0,1,0
真的，不喜欢可以不来，收钱不干活是什么意思,137,0,男,688690372,原评论,1,0,0,0,0,0,0,1,0
"🇭🇰比赛：没西
🇯🇵比赛：有西！",10148,91,男,1068284385,原评论,0,0,0,0,0,0,0,0,0
孩子们，这很好笑,195,0,保密,675620091,原评论,0,1,0,0,0,0,0,1,0
"回复 @嶱肸鸔瀨峎蟘 : 老大我想你了！！！！！[大哭][大哭][大哭][大哭][大哭][大哭]我一直记得你的那句“mamba out
”",30,0,男,1366500807,原评论,1,0,0,0,0,0,0,4,7
我羡慕你的才华,31,0,保密,1278281523,原评论,2,0,0,0,0,0,0,2,0
好了，现在我知道哪个国家的医疗技术最先进了[支持][支持],1842,6,保密,630893509,原评论,3,0,0,0,0,0,0,1,0
回复 @WZYB-Darbuler :那当然，核动力饮料，喝了全身充满力量，每个细胞都在铀内向外爆发能量[吃瓜],92,0,保密,292027226,原评论,0,0,0,1,0,0,0,3,1
还是你八嘎哥厉害吧[脱单doge],77,0,男,1720520770,原评论,0,0,0,0,1,0,0,0,0
他们在外网转移731事件刚起来的热度,16,0,男,399818759,原评论,0,1,0,0,0,0,0,0,0
"感觉这几年一个个之前怎么想都不可能会塌房的的人物全都舆论反转塌房了，说实话有点麻
童年追过的世界级巨星想要稳稳不塌房的还真就只能指望周董了吗，周董可千万别出事啊[笑哭]只有他我是最放心的",1047,52,保密,34979720,原评论,2,1,0,0,0,0,0,2,0
圣诞星都被骂成啥样了[笑哭]哥这几年发的歌都太抽象了,181,0,保密,439373314,原评论,0,0,0,0,0,0,0,0,0
回复 @wbgtheahyreal :那种都只算是小事了，现在我只求职业道德和生活上人品不出问题就好[笑哭],101,0,保密,34979720,原评论,1,0,0,0,0,0,0,2,1
"该说不说，我觉得还是放平心态别做太多期待比较好（），不否认他年轻时的歌很厉害，但对他来说就此隐退别发歌了反而更安全也更能留下好印象。
而且真要说起来，mv喜欢欧美，婚礼在城堡，老婆是混血，定居在澳洲，最大市场在中国但连个微博都不开只有ins，加上这几年工作态度......就感觉还挺微妙的，总担心之后哪天就塌了。",87,0,保密,330018529,原评论,1,2,0,0,1,1,0,4,3
